area_type,availability,location,society,total_sqft,bath,balcony,price,bhk,price_per_sqft
Super built-up  Area,19-Dec,Electronic City Phase II,Coomee ,1056.0,2.0,1.0,39.07,2.0,3699.810606060606
Plot  Area,Ready To Move,Chikka Tirupathi,Theanmp,2600.0,5.0,3.0,120.0,4.0,4615.384615384615
Super built-up  Area,Ready To Move,Lingadheeranahalli,Soiewre,1521.0,3.0,1.0,95.0,3.0,6245.890861275477
Super built-up  Area,Ready To Move,Whitefield,DuenaTa,1170.0,2.0,1.0,38.0,2.0,3247.863247863248
Plot  Area,Ready To Move,Whitefield,Prrry M,2785.0,5.0,3.0,295.0,4.0,10592.45960502693
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Shncyes,1000.0,2.0,1.0,38.0,2.0,3800.0
Plot  Area,Ready To Move,Sarjapur,Skityer,2250.0,3.0,2.0,148.0,3.0,6577.777777777777
Super built-up  Area,Ready To Move,Mysore Road,PrntaEn,1175.0,2.0,2.0,73.5,2.0,6255.31914893617
Super built-up  Area,Ready To Move,Bisuvanahalli,Prityel,1180.0,3.0,2.0,48.0,3.0,4067.7966101694915
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1540.0,3.0,3.0,60.0,3.0,3896.103896103896
Super built-up  Area,Ready To Move,other,PeBayle,2770.0,4.0,2.0,290.0,3.0,10469.314079422382
Super built-up  Area,19-Dec,Binny Pete,She 2rk,1755.0,3.0,1.0,122.0,3.0,6951.5669515669515
Plot  Area,Ready To Move,Thanisandra,Soitya ,2800.0,5.0,2.0,380.0,4.0,13571.42857142857
Super built-up  Area,18-Nov,Thanisandra,Bhe 2ko,510.0,1.0,0.0,25.25,1.0,4950.980392156863
Super built-up  Area,Ready To Move,Electronic City,Itelaa ,660.0,1.0,1.0,23.1,2.0,3500.0
Super built-up  Area,17-Oct,Ramagondanahalli,ViistLa,1151.0,2.0,2.0,48.77,2.0,4237.185056472633
Super built-up  Area,Ready To Move,Electronic City,KBityo ,1025.0,2.0,1.0,47.0,3.0,4585.365853658536
Super built-up  Area,19-Dec,Yelahanka,LedorSa,2475.0,4.0,0.0,186.0,4.0,7515.151515151515
Super built-up  Area,Ready To Move,Bisuvanahalli,Prityel,1075.0,2.0,1.0,35.0,3.0,3255.813953488372
Super built-up  Area,Ready To Move,Hebbal,Mahosya,1760.0,2.0,2.0,123.0,3.0,6988.636363636364
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1693.0,3.0,3.0,57.39,3.0,3389.84051978736
Super built-up  Area,21-Dec,Kanakpura Road,PrarePa,700.0,2.0,1.0,36.0,2.0,5142.857142857143
Super built-up  Area,Ready To Move,Kundalahalli,Dieldli,1724.0,3.0,2.0,125.0,3.0,7250.580046403712
Super built-up  Area,19-Dec,Sarjapur  Road,Soini T,1254.0,3.0,2.0,38.0,3.0,3030.3030303030305
Super built-up  Area,Ready To Move,other,Ceove G,600.0,1.0,0.0,38.0,1.0,6333.333333333333
Super built-up  Area,19-Sep,Kanakpura Road,Soazak ,1330.74,2.0,2.0,91.79,2.0,6897.665960292769
Super built-up  Area,Ready To Move,Doddathoguru,LancyRe,970.0,2.0,0.0,33.0,2.0,3402.061855670103
Super built-up  Area,20-Sep,Whitefield,Goted U,1459.0,2.0,1.0,94.82,2.0,6498.971898560658
Super built-up  Area,Ready To Move,other,Bhncyis,1270.0,2.0,1.0,50.0,2.0,3937.0078740157483
Super built-up  Area,18-Mar,Bhoganhalli,Rosha I,1670.0,3.0,1.0,99.0,3.0,5928.143712574851
Built-up  Area,Ready To Move,Whitefield,Suent V,2010.0,3.0,2.0,91.0,3.0,4527.363184079602
Super built-up  Area,Ready To Move,Lakshminarayana Pura,RothaVa,1185.0,2.0,2.0,75.0,2.0,6329.113924050633
Super built-up  Area,Ready To Move,Yelahanka,NCowsar,1600.0,2.0,3.0,75.0,3.0,4687.5
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,1200.0,2.0,2.0,44.0,2.0,3666.6666666666665
Super built-up  Area,Ready To Move,other,PeBayle,1500.0,2.0,2.0,185.0,2.0,12333.333333333334
Super built-up  Area,Ready To Move,other,Laavevi,845.0,2.0,1.0,55.0,2.0,6508.87573964497
Plot  Area,Ready To Move,Whitefield,Chranya,5700.0,5.0,3.0,650.0,4.0,11403.508771929824
Built-up  Area,Ready To Move,Varthur,HioraTr,1160.0,2.0,2.0,44.0,2.0,3793.103448275862
Super built-up  Area,18-Apr,Gunjur,BMineis,1140.0,2.0,3.0,43.0,2.0,3771.9298245614036
Super built-up  Area,20-Aug,Begur Road,Pruthg ,1358.0,2.0,1.0,80.58,2.0,5933.726067746687
Super built-up  Area,Ready To Move,Hegde Nagar,Sonosty,1569.0,3.0,1.0,101.0,3.0,6437.221159974506
Super built-up  Area,18-Apr,Haralur Road,SNnia E,1240.0,2.0,1.0,70.0,2.0,5645.1612903225805
Super built-up  Area,Ready To Move,Hennur Road,Anavi B,2089.0,3.0,2.0,140.0,3.0,6701.771182383915
Built-up  Area,Ready To Move,other,Viony H,2511.0,3.0,3.0,205.0,3.0,8164.078056551175
Super built-up  Area,Ready To Move,other,AdentEl,1660.0,2.0,2.0,105.0,3.0,6325.301204819277
Super built-up  Area,19-Mar,Yelahanka,Niareum,1326.0,2.0,2.0,78.0,2.0,5882.35294117647
Super built-up  Area,Ready To Move,EPIP Zone,SJlynro,1499.0,5.0,2.0,102.0,3.0,6804.536357571715
Super built-up  Area,17-Sep,Dasanapura,Tavenew,708.0,2.0,2.0,37.0,2.0,5225.988700564972
Super built-up  Area,Ready To Move,Kasavanhalli,Srire S,1060.0,2.0,2.0,58.06,2.0,5477.358490566037
Built-up  Area,Ready To Move,other,Saenti ,1000.0,2.0,2.0,70.0,2.0,7000.0
Super built-up  Area,17-Aug,Thanisandra,Bhmesy ,1296.0,2.0,3.0,80.0,2.0,6172.83950617284
Plot  Area,Ready To Move,Kengeri,Goardth,2894.0,4.0,1.0,245.0,4.0,8465.791292328957
Super built-up  Area,Ready To Move,Yeshwanthpur,IBityin,2502.0,3.0,3.0,138.0,3.0,5515.587529976019
Built-up  Area,Ready To Move,Chandapura,KHityry,650.0,1.0,1.0,17.0,2.0,2615.3846153846152
Plot  Area,Ready To Move,Kothanur,BDensar,2400.0,2.0,1.0,150.0,3.0,6250.0
Super built-up  Area,Ready To Move,other,Makeser,1007.0,2.0,2.0,43.0,2.0,4270.109235352532
Super built-up  Area,Ready To Move,other,Maest N,1200.0,2.0,2.0,50.0,2.0,4166.666666666667
Built-up  Area,Ready To Move,Rajaji Nagar,Brway G,1640.0,3.0,2.0,229.0,3.0,13963.414634146342
Super built-up  Area,19-Apr,Devanahalli,Oznuean,1260.0,2.0,2.0,66.78,2.0,5300.0
Super built-up  Area,Ready To Move,other,Reeroce,1413.0,2.0,2.0,75.0,3.0,5307.855626326964
Super built-up  Area,Ready To Move,Whitefield,Sonviik,1116.0,2.0,1.0,51.91,2.0,4651.433691756272
Super built-up  Area,Ready To Move,Electronic City,DSgmax ,1530.0,2.0,1.0,45.9,3.0,3000.0
Built-up  Area,Ready To Move,Sarjapur  Road,Cetattu,2497.0,3.0,2.0,140.0,3.0,5606.728073688426
Super built-up  Area,Ready To Move,Kengeri,Vaens G,1540.0,2.0,3.0,64.0,3.0,4155.8441558441555
Super built-up  Area,Ready To Move,Thanisandra,Moity S,1427.0,3.0,2.0,120.0,3.0,8409.250175192712
Super built-up  Area,Ready To Move,Akshaya Nagar,HiahsLa,2061.0,3.0,1.0,200.0,3.0,9704.02717127608
Super built-up  Area,18-Mar,Hebbal,SNontle,5611.5,4.0,0.0,477.0,4.0,8500.400962309543
Super built-up  Area,22-Dec,Devanahalli,Sabixtt,1282.0,2.0,2.0,68.52,3.0,5344.773790951638
Built-up  Area,Ready To Move,other,Sragei ,1600.0,3.0,2.0,65.0,3.0,4062.5
Super built-up  Area,Ready To Move,Hormavu,SyidaCr,1500.0,2.0,1.0,78.0,2.0,5200.0
Built-up  Area,Ready To Move,other,Jahts H,1870.0,3.0,3.0,110.0,3.0,5882.35294117647
Plot  Area,Ready To Move,Sarjapur,Inensba,1600.0,3.0,1.0,75.0,3.0,4687.5
Super built-up  Area,Ready To Move,Electronic City,Itelaa ,880.0,1.0,1.0,16.5,2.0,1875.0
Super built-up  Area,Ready To Move,Kudlu Gate,Srier P,1535.0,3.0,2.0,83.0,3.0,5407.166123778502
Built-up  Area,Ready To Move,Kanakpura Road,Wiowsri,950.0,2.0,1.0,57.0,2.0,6000.0
Super built-up  Area,18-Aug,Devanahalli,Derdsig,1360.0,2.0,1.0,65.0,2.0,4779.411764705882
Super built-up  Area,19-Mar,8th Phase JP Nagar,Vaarech,1073.5,2.0,0.0,54.005,2.0,5030.740568234746
Super built-up  Area,19-Jan,other,TiaksAa,1260.0,2.0,2.0,85.05,3.0,6750.0
Super built-up  Area,19-Dec,Yelahanka,LedorSa,3050.0,5.0,1.0,213.0,5.0,6983.606557377049
Super built-up  Area,Ready To Move,Kasavanhalli,HMwerCo,1563.05,3.0,1.0,105.0,3.0,6717.635392341896
Super built-up  Area,17-Jul,Anandapura,ViensRK,1167.0,2.0,1.0,43.76,2.0,3749.7857754927163
Super built-up  Area,Ready To Move,Kengeri Satellite Town,HoiewLa,890.0,2.0,1.0,35.0,2.0,3932.5842696629215
Super built-up  Area,Ready To Move,other,Dwity T,1612.0,3.0,3.0,46.74,3.0,2899.5037220843674
Super built-up  Area,19-Apr,Mysore Road,Brama P,1710.0,4.0,2.0,91.31,3.0,5339.766081871345
Super built-up  Area,Ready To Move,Kannamangala,VBownre,957.0,2.0,1.0,58.0,2.0,6060.606060606061
Super built-up  Area,Ready To Move,Hulimavu,Prcan P,1125.0,2.0,2.0,50.0,2.0,4444.444444444444
Super built-up  Area,18-Jul,Electronic City Phase II,Sryalan,1020.0,2.0,1.0,30.6,2.0,3000.0
Super built-up  Area,Ready To Move,Thanisandra,Soitya ,1735.0,3.0,3.0,135.0,3.0,7780.979827089337
Super built-up  Area,Ready To Move,Thanisandra,G conTh,2050.0,3.0,1.0,145.0,3.0,7073.170731707317
Super built-up  Area,18-May,Hosa Road,SStusan,1063.0,2.0,1.0,32.0,2.0,3010.348071495767
Super built-up  Area,Ready To Move,other,ETens G,1904.0,3.0,1.0,150.0,3.0,7878.151260504202
Super built-up  Area,Ready To Move,other,Hohnari,2000.0,3.0,1.0,175.0,3.0,8750.0
Super built-up  Area,18-Dec,Sarjapur,Kinuerg,1242.5,2.0,0.0,43.49,2.0,3500.201207243461
Super built-up  Area,Ready To Move,other,Naods W,1425.0,2.0,2.0,75.0,3.0,5263.1578947368425
Super built-up  Area,Ready To Move,Electronic City,GMown E,1500.0,2.0,1.0,64.5,3.0,4300.0
